#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 17h12 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
3623;43.3381;0.4159;GWL30;16.04;24.04;9.21;30.01;19.5;58.8;39.8;912.39;206.23;269.07;29.59;54.94;4.9;15;156;3.76;4.29;3.9;5.53;18.1;45.2;37;1.2;13;86;0.03;0.16;0.18;0.18;0.34;
3624;43.3398;0.5143;GWL30;15.95;23.91;9.12;29.81;19.7;57.1;39.2;922.08;201.09;268.6;29.84;50.75;4.9;16;151;3.82;4.33;3.95;5.53;18.3;43.7;36.5;1.3;14;85;0.03;0.11;0.17;0.18;0.27;
3625;43.3415;0.6128;GWL30;15.85;23.86;8.93;29.57;20;55.3;45.8;867.16;191.65;257.36;28.81;51.18;5.6;16;160;3.88;4.49;3.9;5.69;18.5;43.1;42.3;2;13;94;0.05;0.13;0.17;0.22;0.33;
3764;43.4063;0.2163;GWL30;16.33;24.22;9.55;29.81;20.7;57.5;51.8;944.74;207.79;288.46;29.93;56.75;5.1;15;161;3.79;4.44;3.89;5.57;19.1;44.7;47.4;1.4;13;91;0.03;0.13;0.16;0.13;0.42;
3765;43.4082;0.3149;GWL30;16.03;24.2;9.11;29.94;21.3;58.3;45.8;863.45;186.39;251.58;29.09;52.44;6.3;15;153;3.8;4.5;3.86;5.62;19.7;44.7;41.7;2.7;13;98;0.06;0.14;0.17;0.24;0.45;
3766;43.41;0.4134;GWL30;16.26;24.3;9.36;30.14;21.8;60.7;47.1;839.9;188.06;249.87;27.98;55.47;5.9;15;165;3.79;4.33;3.91;5.46;20.2;45.9;43;2.2;13;83;0.05;0.19;0.18;0.24;0.6;
3767;43.4117;0.512;GWL30;16.11;24.11;9.18;29.93;21;58.5;46.7;851.46;187.57;250.2;28.27;48.62;5.9;16;168;3.83;4.36;3.9;5.55;19.5;44.5;42.7;2.2;14;83;0.05;0.13;0.17;0.23;0.3;
3768;43.4133;0.6106;GWL30;16.1;24.09;9.17;29.91;21;58.2;45.4;857.95;190.9;250.5;28.66;50.72;5.8;16;178;3.83;4.37;3.9;5.56;19.4;44.5;41.6;2.2;14;86;0.06;0.13;0.17;0.26;0.35;
3769;43.4149;0.7092;GWL30;16.26;24.56;9.07;30.11;21.1;59.8;51.8;754.75;180.07;216.6;27.12;52.88;5.4;27;218;3.9;4.54;3.87;5.45;19.5;45.1;46.1;1.8;22;95;0.06;0.13;0.18;0.25;0.4;
3770;43.4163;0.8078;GWL30;16.49;24.77;9.32;30.38;22;62.4;54.1;740.99;179.56;218.31;26.64;52.34;5.3;28;209;3.88;4.46;3.9;5.33;20.2;46.2;48.4;1.7;23;91;0.06;0.19;0.22;0.25;0.38;
3771;43.4177;0.9064;GWL30;16.48;24.76;9.3;30.36;22;61.8;54.1;734.41;179.79;218.73;26.24;50.07;5.3;28;203;3.89;4.47;3.9;5.34;20.2;45.8;48.5;1.6;23;85;0.05;0.19;0.22;0.25;0.28;
3772;43.4189;1.005;GWL30;16.37;24.69;9.2;30.21;22;60.9;54.7;742.91;178.38;217.16;26.56;50.46;5.3;28;194;3.94;4.58;3.93;5.44;20.3;45.4;49.5;1.6;23;84;0.05;0.11;0.21;0.25;0.28;
3907;43.4782;0.2136;GWL30;16.43;24.29;9.64;29.96;21.1;58.9;50.7;942.12;206.04;286.02;29.27;56.48;5.1;15;152;3.77;4.37;3.89;5.51;19.4;45.5;46.3;1.4;13;88;0.03;0.13;0.16;0.14;0.42;
3908;43.4801;0.3123;GWL30;16.22;24.26;9.32;30.08;21.7;60.2;44.5;845.91;188.71;250.97;28.34;55.57;5.4;15;171;3.8;4.35;3.91;5.48;20.1;45.7;40.4;1.8;13;93;0.06;0.19;0.18;0.25;0.6;
3909;43.4819;0.411;GWL30;16.34;24.36;9.44;30.23;21.9;61.9;45.8;832.76;186.95;248.41;28.05;55.31;5.6;16;172;3.79;4.3;3.91;5.41;20.3;46.5;41.7;1.9;14;90;0.05;0.19;0.18;0.26;0.61;
3910;43.4836;0.5097;GWL30;16.26;24.29;9.38;30.08;22;60.5;45.1;839.12;193.02;249.15;28.23;48.99;5.5;16;167;3.81;4.36;3.95;5.45;20.4;45.6;41;1.8;14;82;0.05;0.19;0.18;0.26;0.34;
3911;43.4852;0.6085;GWL30;16.25;24.29;9.39;30.02;22.1;61;46.3;842.89;187.51;252.09;28.22;47.38;5.6;17;178;3.84;4.39;3.99;5.43;20.5;46.2;42.7;2;14;79;0.05;0.14;0.19;0.26;0.33;
3912;43.4868;0.7072;GWL30;16.41;24.74;9.28;30.31;21.8;61.9;54;736.69;180.88;214.14;24.98;46.45;5.7;27;216;3.87;4.51;3.92;5.37;20.1;46.3;48.5;2;23;86;0.05;0.17;0.2;0.2;0.32;
3913;43.4882;0.8059;GWL30;16.39;24.74;9.26;30.24;22.2;61.8;54.2;746.54;178.31;219.87;26.81;54.47;5.3;28;199;3.88;4.55;3.93;5.35;20.4;46.3;48.8;1.6;23;89;0.06;0.13;0.22;0.25;0.42;
3914;43.4896;0.9046;GWL30;16.61;24.94;9.48;30.53;23.1;64.7;55.8;725.16;174.42;215.01;25.91;53.94;5.3;28;200;3.85;4.45;3.93;5.25;21.1;47.8;49.6;1.6;24;90;0.05;0.13;0.21;0.25;0.43;
3915;43.4908;1.0034;GWL30;16.6;24.89;9.43;30.52;23.1;63;56;729.14;174.14;211.89;26.02;48.79;5.3;28;196;3.9;4.46;3.93;5.33;21.3;46.7;50.3;1.6;23;90;0.05;0.11;0.2;0.24;0.25;
4049;43.5481;0.1121;GWL30;16.66;24.41;9.86;30.32;22;63.5;49.2;908.83;201.75;285.11;28.73;55.57;5.2;14;157;3.71;4.13;3.87;5.36;20.1;48;44.3;1.6;13;86;0.02;0.11;0.19;0.17;0.47;
4050;43.55;0.211;GWL30;16.26;24.26;9.36;30.17;21.7;61;44;831.65;177.59;252.53;27.63;49.18;5.4;15;180;3.76;4.25;3.88;5.43;20.1;46.2;40.2;1.8;13;89;0.05;0.1;0.2;0.25;0.44;
4051;43.5519;0.3098;GWL30;16.29;24.33;9.43;30.18;21.7;61.5;45.2;839.68;186.7;254.99;28.17;52.97;5.4;16;175;3.76;4.3;3.93;5.4;20.1;46.3;41;1.8;13;94;0.06;0.17;0.21;0.25;0.4;
4052;43.5538;0.4086;GWL30;16.41;24.45;9.55;30.33;22.2;63;46.2;825.62;184.89;251.68;27.89;52.71;5.5;16;179;3.75;4.25;3.93;5.34;20.5;46.8;42;1.9;14;89;0.05;0.17;0.21;0.27;0.4;
4053;43.5555;0.5074;GWL30;16.3;24.37;9.46;30.1;22.8;62.5;45.7;834.39;189.02;252.56;28.09;47.88;5.5;17;181;3.78;4.35;3.96;5.33;21;47.3;42;1.8;15;86;0.05;0.17;0.19;0.26;0.29;
4054;43.5571;0.6063;GWL30;16.34;24.43;9.49;30.09;22.7;62.7;47;834.5;182;251.76;27.97;50.48;5.5;18;178;3.79;4.37;3.97;5.28;21.2;47.2;43;1.9;15;75;0.05;0.13;0.19;0.26;0.32;
4055;43.5586;0.7051;GWL30;16.16;24.59;9.01;30.08;22.5;60.5;51.2;771.39;194.61;224.31;26.47;47.11;5.7;24;178;3.93;4.69;3.97;5.54;20.7;45.8;45.9;1.9;20;94;0.05;0.14;0.22;0.2;0.29;
4056;43.5601;0.804;GWL30;16.6;24.93;9.47;30.52;23;64.5;55.6;724.84;172.68;215.35;24.6;53.97;5.2;28;200;3.85;4.45;3.93;5.25;21;47.7;49.5;1.6;23;87;0.05;0.13;0.21;0.21;0.43;
4057;43.5614;0.9028;GWL30;16.57;24.92;9.44;30.5;23.4;63.2;55.9;720.92;172.83;214.23;25.55;45.14;5.7;29;192;3.88;4.51;3.95;5.31;21.6;46.5;50.1;2.1;24;89;0.04;0.09;0.22;0.26;0.24;
4058;43.5627;1.0017;GWL30;16.72;25.05;9.59;30.69;24.1;65.4;57;710.02;166.22;211.19;24.81;43.95;5.5;29;201;3.86;4.45;3.96;5.25;22.2;47.9;50.8;1.8;24;90;0.03;0.06;0.22;0.21;0.24;
4059;43.5639;1.1006;GWL30;16.49;24.85;9.35;30.43;23.1;61.6;56.5;725.13;169.71;216.93;25.31;47.28;5.6;29;193;3.93;4.6;3.98;5.45;21.4;46.2;50.3;1.9;24;90;0.03;0.08;0.22;0.22;0.27;
4189;43.6134;-0.1874;GWL30;16.71;24.46;9.84;30.41;22;64.2;49.5;889.15;190.46;284.03;28.15;52.18;5.1;14;147;3.66;4.08;3.78;5.3;20.2;47.9;44.9;1.4;12;83;0;0.06;0.18;0.15;0.24;
4190;43.6157;-0.0885;GWL30;16.71;24.46;9.84;30.41;22;64.2;49.8;890.75;190.46;284.03;28.15;52.18;5.2;14;157;3.66;4.08;3.78;5.3;20.2;47.9;45;1.5;12;84;0;0.06;0.18;0.15;0.24;
