#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
4034;43.5074;-1.369;REF;13.7;19.96;7.67;23.87;0.7;9.1;8.8;1186.07;211.23;344.19;32.45;65.06;3.7;1;75;
4035;43.5107;-1.2704;REF;13.71;20.49;7.16;25.15;1;15.8;7.9;1237.04;221.84;356.25;32.81;66.09;3.8;1;71;
4037;43.5171;-1.073;REF;13.64;20.41;7.1;25.01;1;15.4;7.6;1244.17;225.26;355.09;33.3;60.86;3.8;1;63;
4176;43.5758;-1.4725;REF;13.77;20.04;7.73;23.99;0.7;9.3;9.1;1184.75;211.23;342.54;32.41;64.87;3.7;1;68;
4177;43.5792;-1.3737;REF;13.7;19.96;7.67;23.87;0.7;9;8.9;1190.95;212.63;344.19;32.58;65.06;3.7;1;75;
4178;43.5825;-1.2749;REF;13.64;20.4;7.11;25;1.1;15.7;8;1249.94;222.25;355.96;32.74;62.54;3.7;1;71;
4179;43.5858;-1.1761;REF;13.66;20.42;7.12;25.04;1.1;15.9;8;1248.17;221.67;355.55;32.68;62.48;3.7;1;68;
4180;43.589;-1.0773;REF;13.49;20.22;7.01;24.73;0.9;14.4;7.6;1258.98;223.08;358.7;33.88;56.91;3.8;1;63;
4181;43.592;-0.9784;REF;13.43;20.15;6.97;24.62;0.9;13.8;7.5;1265.66;233.61;361.15;33.35;61.98;3.8;1;63;
4182;43.595;-0.8796;REF;13.42;20.14;6.96;24.6;0.9;14.1;7.4;1266.83;233.81;361.38;33.37;62.02;3.8;1;65;
4183;43.5979;-0.7807;REF;13.48;20.22;7.01;24.73;0.9;14.5;7.6;1262.15;231.23;360.14;33.19;59.07;3.8;1;63;
4184;43.6007;-0.6819;REF;13.45;20.54;6.75;25.38;1.7;17.6;6.2;1035.8;202.41;286.44;28.23;53.18;3.7;1;75;
