#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h07 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 

Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
4034;43.5074;-1.369;GWL15;15.25;21.6;9.37;25.34;2.9;19.7;29.4;1328.94;240.16;405.09;35.31;60.8;5.6;3;110;1.66;1.65;1.92;1.5;2.4;11;21.4;1.9;2;41;0.14;0.16;0.2;0.16;0.31;
4035;43.5107;-1.2704;GWL15;15.33;22.2;8.93;26.76;4.3;28.1;28;1384.1;250.41;423.46;36.12;61.76;5.1;3;108;1.72;1.76;1.96;1.65;3.3;12.5;20.5;1.5;3;41;0.14;0.16;0.21;0.15;0.27;
4037;43.5171;-1.073;GWL15;15.21;22.04;8.82;26.69;4.8;30;28.4;1373.65;252.04;406.11;37.25;58.99;6.2;4;98;1.67;1.68;1.99;1.69;4;14.7;20.9;2.5;3;41;0.14;0.17;0.21;0.2;0.2;
4176;43.5758;-1.4725;GWL15;15.37;21.75;9.39;25.56;2.8;19.9;30.8;1320.74;231.33;403.1;34.59;63.67;5.5;2;109;1.7;1.75;1.96;1.59;2.3;10.7;22.5;1.8;2;44;0.15;0.14;0.2;0.14;0.42;
4177;43.5792;-1.3737;GWL15;15.3;21.67;9.33;25.44;2.8;19.1;30.4;1328.35;232.66;405.09;34.73;63.87;5.6;2;115;1.7;1.75;1.96;1.6;2.3;10.2;22.3;1.9;2;42;0.15;0.14;0.2;0.14;0.42;
4178;43.5825;-1.2749;GWL15;15.3;22.16;8.81;26.73;4.5;28.7;28.2;1395.25;242.31;417.29;36.13;68.41;5;4;113;1.76;1.79;1.99;1.77;3.5;13.8;21.4;1.3;3;42;0.15;0.13;0.21;0.14;0.43;
4179;43.5858;-1.1761;GWL15;15.26;22.11;8.83;26.64;4.5;29;28.5;1390.17;250.3;416.73;36.33;61.09;5.2;4;110;1.71;1.76;2.02;1.6;3.5;13.9;21.2;1.5;3;42;0.15;0.16;0.21;0.15;0.26;
4180;43.589;-1.0773;GWL15;15.08;21.92;8.68;26.42;4.2;28.5;29.3;1398.46;254.28;406.25;36.88;62.53;5.3;4;102;1.68;1.72;2;1.69;3.4;14.2;22.1;1.8;3;43;0.14;0.16;0.21;0.16;0.27;
4181;43.592;-0.9784;GWL15;15.02;21.85;8.64;26.37;4.6;29;29.1;1417.08;255.46;410.69;38.41;60.07;5.9;4;96;1.68;1.73;2;1.75;3.8;15.2;22;2.3;4;39;0.15;0.16;0.22;0.18;0.27;
4182;43.595;-0.8796;GWL15;15;21.86;8.63;26.35;5.2;28.8;28.6;1414.08;261.68;410.83;38.57;59.56;6.2;4;99;1.67;1.76;2;1.75;4.5;15.1;21.5;2.5;3;40;0.14;0.18;0.21;0.19;0.2;
4183;43.5979;-0.7807;GWL15;15.05;21.93;8.67;26.52;5.3;30.1;28.4;1406.59;268.47;412.33;38.4;62.66;5.9;4;93;1.65;1.75;2;1.79;4.5;15.9;21.1;2.3;4;38;0.14;0.24;0.21;0.22;0.23;
4184;43.6007;-0.6819;GWL15;15.02;22.22;8.39;27.19;7.7;34;25.2;1143.08;223.97;331.63;32.18;55.06;5.8;5;114;1.65;1.73;1.99;1.82;6;16.5;19.2;2.1;4;43;0.14;0.19;0.23;0.2;0.21;
