#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h08 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
4034;43.5074;-1.369;GWL20;15.77;22.27;9.94;26.04;4.9;25.4;38.9;1328.39;221.41;436.14;35.67;69.59;5.4;3;125;2.15;2.35;2.44;2.17;4.3;17.2;30.1;1.8;3;63;0.15;0.12;0.27;0.17;0.19;
4035;43.5107;-1.2704;GWL20;15.86;22.89;9.51;27.46;6.8;36.2;36.8;1398.84;227.47;456.62;37.21;71.71;5.7;4;125;2.23;2.47;2.51;2.33;5.8;21.6;28.9;2;3;63;0.16;0.1;0.28;0.17;0.21;
4037;43.5171;-1.073;GWL20;15.79;22.87;9.37;27.61;7.3;38.5;34.8;1362.31;221.24;439.47;36.46;56.87;5.9;4;115;2.21;2.46;2.42;2.6;6.4;23.5;27.4;2.2;4;58;0.12;0.03;0.25;0.16;0.19;
4176;43.5758;-1.4725;GWL20;15.98;22.52;10.02;26.15;4.7;26.7;42.1;1312.78;220.76;434.03;35.44;69.39;5.4;2;128;2.23;2.51;2.47;2.16;4.1;18;34.7;1.8;2;62;0.14;0.12;0.27;0.17;0.18;
4177;43.5792;-1.3737;GWL20;15.91;22.44;9.96;26.03;4.5;25.4;41.5;1319.53;222.02;436.16;35.67;69.59;5.5;2;130;2.23;2.52;2.46;2.17;3.9;17.1;34.3;1.8;2;59;0.14;0.12;0.27;0.17;0.18;
4178;43.5825;-1.2749;GWL20;15.82;22.83;9.41;27.49;7.1;37.8;37;1358.85;227.99;458.06;36.39;70.37;5.8;4;128;2.22;2.51;2.46;2.49;6.1;23.5;29;2;3;59;0.12;0.08;0.29;0.17;0.23;
4179;43.5858;-1.1761;GWL20;15.84;22.85;9.43;27.52;7.1;37.9;37;1357.24;227.67;457.42;36.45;70.31;5.8;4;126;2.22;2.5;2.46;2.49;6.1;23.4;29;2.1;3;58;0.12;0.08;0.29;0.17;0.2;
4180;43.589;-1.0773;GWL20;15.67;22.68;9.27;27.35;7;36.8;35.2;1348.24;229.06;441.76;36.71;59.61;6.1;4;120;2.21;2.46;2.45;2.63;6.2;23.8;28;2.5;3;61;0.1;0.05;0.24;0.17;0.21;
4181;43.592;-0.9784;GWL20;15.59;22.72;9.21;27.32;7.1;37.8;35.5;1375.71;230.13;448.14;36.87;57.69;6.1;5;113;2.2;2.57;2.43;2.7;6.4;24;28;2.4;4;56;0.11;0.05;0.26;0.17;0.21;
4182;43.595;-0.8796;GWL20;15.59;22.71;9.2;27.3;7;37.7;35.5;1377.12;239.97;454.15;37.58;57.72;6.1;5;117;2.2;2.57;2.43;2.7;6.3;23.9;28.1;2.4;4;58;0.11;0.09;0.27;0.19;0.14;
4183;43.5979;-0.7807;GWL20;15.65;22.82;9.25;27.52;7.8;38.5;35.3;1358.05;243.05;445.68;37.09;60.86;5.8;6;114;2.2;2.6;2.43;2.8;7.1;24.3;28.1;2.2;5;61;0.1;0.12;0.25;0.16;0.22;
4184;43.6007;-0.6819;GWL20;15.6;23.1;8.97;28.24;10.1;42.9;31.6;1116.96;203.49;361.48;31.4;52.8;5.4;7;132;2.2;2.56;2.43;2.87;8.5;25.5;25.6;1.8;6;61;0.11;0.08;0.29;0.16;0.26;
4185;43.6034;-0.583;GWL20;15.54;23.04;8.92;28.15;9.6;41.8;31.8;1126.84;197.78;356.57;31.12;48.13;5.4;6;131;2.21;2.6;2.44;2.91;8;25.5;26.4;1.7;5;61;0.11;0.06;0.27;0.15;0.23;
4186;43.6061;-0.4841;GWL20;15.33;22.83;8.77;27.84;9.8;39.3;29.6;1159.73;200.96;379.08;31.86;49.15;5.9;7;130;2.22;2.64;2.44;2.95;8.4;24.8;24.5;2.2;6;58;0.13;0.06;0.32;0.17;0.21;
4187;43.6086;-0.3852;GWL20;15.34;22.83;8.78;27.84;9.9;39.4;29.7;1158.81;200.87;371.75;31.66;49.14;5.4;6;130;2.21;2.64;2.44;2.95;8.4;24.8;24.7;1.8;5;59;0.13;0.06;0.29;0.17;0.16;
4188;43.6111;-0.2863;GWL20;15.18;22.7;8.69;27.61;8.7;37.5;28.8;1177.99;200.21;375.57;32.65;50.99;5;6;109;2.2;2.7;2.45;2.98;7.5;23.8;23.9;1.4;5;61;0.13;0.05;0.29;0.17;0.15;
4320;43.651;-1.3784;GWL20;16.05;22.68;10.05;26.25;4.7;26.2;47.2;1310.05;209.83;431.78;34.62;71.24;5.6;2;127;2.32;2.7;2.52;2.36;4.1;17.8;40.2;1.9;2;59;0.14;0.05;0.29;0.13;0.26;
4321;43.6544;-1.2795;GWL20;15.85;22.87;9.44;27.55;7.1;38.2;37;1355.23;230.58;463.81;36.55;70.24;5.4;4;116;2.22;2.5;2.47;2.48;6.1;23.6;28.9;1.7;3;61;0.12;0.08;0.33;0.17;0.26;
4322;43.6576;-1.1805;GWL20;15.89;22.91;9.47;27.61;7.1;38.5;37.4;1351.57;229.92;462.42;36.27;70.12;5.3;4;130;2.22;2.49;2.47;2.48;6.1;23.5;29.2;1.6;3;58;0.12;0.08;0.33;0.17;0.2;
4323;43.6608;-1.0816;GWL20;15.86;22.88;9.42;27.69;7.6;39.2;36.4;1327.99;231.37;436.62;36.32;59;5.1;4;131;2.21;2.43;2.46;2.59;6.8;24.5;28.2;1.4;4;59;0.1;0.07;0.24;0.15;0.19;
4324;43.6639;-0.9826;GWL20;15.82;22.92;9.4;27.73;7.8;40.2;35.4;1330.89;226.28;434.48;36.3;57.02;6.1;5;118;2.2;2.51;2.47;2.7;7;24.8;28;2.4;4;59;0.1;0.05;0.24;0.17;0.2;
4325;43.6669;-0.8837;GWL20;15.8;22.89;9.37;27.67;7.7;39.7;35.7;1334.59;236.46;447.3;37.02;57.14;6.1;5;120;2.22;2.52;2.47;2.71;6.9;24.6;28.1;2.4;4;60;0.1;0.09;0.27;0.19;0.19;
4326;43.6698;-0.7847;GWL20;15.68;22.74;9.28;27.46;7.1;38.6;35.3;1354.28;243.05;438.84;36.61;57.36;5.8;6;113;2.22;2.52;2.46;2.73;6.5;24.4;28;2.2;5;59;0.1;0.12;0.24;0.16;0.22;
4327;43.6726;-0.6857;GWL20;15.61;23.06;9.01;28.24;10.2;42.8;31.6;1111.51;203.49;353.73;31.4;49.39;5.4;7;138;2.19;2.52;2.47;2.85;8.6;26;25.6;1.8;6;63;0.1;0.08;0.25;0.16;0.24;
4328;43.6753;-0.5867;GWL20;15.54;23.04;8.92;28.15;9.6;41.8;31.8;1126.81;197.78;356.53;31.12;48.13;5.4;6;126;2.21;2.6;2.44;2.91;8;25.5;26.4;1.7;5;61;0.11;0.06;0.27;0.15;0.23;
4329;43.6779;-0.4877;GWL20;15.54;23.05;8.93;28.16;10.1;42.2;30.9;1141.34;197.82;374.28;31.38;48.71;5.9;7;130;2.21;2.61;2.45;2.91;8.5;25.6;25.2;2.2;5;57;0.13;0.06;0.33;0.17;0.21;
4330;43.6805;-0.3887;GWL20;15.37;22.86;8.8;27.88;9.9;39.9;29.5;1148.56;199.74;378.86;31.79;48.02;5.9;7;122;2.21;2.63;2.43;2.92;8.5;24.8;24.4;2.2;6;59;0.12;0.05;0.33;0.18;0.25;
4331;43.6829;-0.2896;GWL20;15.32;22.81;8.76;27.8;9.8;39.5;29.5;1152.93;197.76;369.66;31.69;48.16;6.2;7;123;2.21;2.64;2.42;2.94;8.4;24.7;24.5;2.5;6;60;0.12;0.04;0.29;0.17;0.25;
4463;43.7228;-1.3831;GWL20;16.03;22.66;10.03;26.22;4.3;27.1;47;1311.71;210.16;432.39;34.65;71.3;5.4;3;122;2.32;2.7;2.52;2.36;3.7;18.7;40;1.8;3;67;0.14;0.05;0.29;0.13;0.22;
4464;43.7262;-1.284;GWL20;15.82;22.3;9.9;25.91;4.1;26;40.6;1282.25;220.71;441.25;35.03;71.68;5.3;3;109;2.24;2.5;2.43;2.3;3.7;18.3;33.8;1.7;2;68;0.1;0.06;0.3;0.12;0.25;
4465;43.7295;-1.185;GWL20;15.75;22.75;9.36;27.43;6.4;38;36;1325.92;232.46;467.72;36.63;66.73;5.2;4;107;2.2;2.51;2.48;2.57;5.6;24.2;27.6;1.6;4;69;0.09;0.07;0.33;0.14;0.31;
4466;43.7326;-1.0859;GWL20;15.87;22.88;9.45;27.65;7.4;39.3;36.9;1308.49;231.15;448.86;36.3;66.31;5.2;4;121;2.2;2.49;2.49;2.55;6.6;24.6;28.3;1.6;4;66;0.09;0.07;0.27;0.15;0.31;
4467;43.7357;-0.9868;GWL20;15.95;22.94;9.52;27.83;7.8;41.1;36.8;1303.53;230.29;441.36;35.27;65.59;5.1;6;120;2.2;2.5;2.52;2.59;7;25.6;28.6;1.5;5;61;0.09;0.07;0.25;0.15;0.32;
4468;43.7387;-0.8877;GWL20;15.54;23.14;8.62;28.49;9.9;47.5;31.9;1068.65;200.3;359.98;29.73;58.62;5.2;7;137;2.32;2.6;2.53;2.69;8.1;28.2;25.7;1.5;5;61;0.09;0.06;0.3;0.15;0.32;
4469;43.7416;-0.7886;GWL20;15.48;23.15;8.54;28.47;10;45.3;31.1;1096.83;200.65;349.68;31.33;52.24;5.7;9;137;2.32;2.58;2.49;2.78;8.3;27;25.1;2;7;65;0.11;0.05;0.26;0.24;0.2;
4470;43.7444;-0.6895;GWL20;15.47;23.19;8.55;28.52;10.2;45.5;31.1;1095.83;200.75;349.82;31.34;51.97;5.7;9;134;2.31;2.62;2.51;2.83;8.4;27.1;25.1;2;7;66;0.11;0.05;0.26;0.24;0.25;
4471;43.7472;-0.5904;GWL20;15.41;23.14;8.51;28.44;10.1;44.8;31.4;1100.27;198.14;363.66;30.33;50.56;5.2;9;136;2.3;2.63;2.5;2.84;8.4;26.9;25.6;1.5;7;67;0.11;0.04;0.3;0.18;0.24;
4472;43.7498;-0.4912;GWL20;15.31;23.04;8.44;28.24;10.4;43.5;31.8;1117.91;198.26;364.27;30.3;50.87;6.3;9;131;2.31;2.67;2.51;2.86;8.7;26.8;26;2.6;7;70;0.12;0.05;0.3;0.17;0.23;
4473;43.7523;-0.3921;GWL20;15.23;22.99;8.38;28.07;10.3;42.2;31.8;1131.01;199.6;366.64;30.76;54.44;6.3;9;124;2.31;2.71;2.49;2.85;8.8;26.4;26.1;2.6;7;67;0.12;0.05;0.3;0.17;0.27;
4474;43.7548;-0.293;GWL20;15.28;23.02;8.4;28.13;10.4;42.7;30.6;1127.63;198.44;350.57;30.67;54.35;6.2;10;130;2.32;2.7;2.49;2.84;8.9;26.6;24.9;2.6;8;64;0.12;0.05;0.24;0.15;0.27;
4606;43.7947;-1.3878;GWL20;16.02;22.6;10.05;26.29;4.4;27.1;45.2;1286.89;210.07;442.77;34.72;71.17;5.7;3;123;2.27;2.6;2.5;2.36;3.9;18.4;38.1;2;2;65;0.12;0.04;0.32;0.16;0.22;
