#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h08 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements  
 Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr; 
 
4034;43.5074;-1.369;GWL30;17.18;23.67;11.19;27.29;9.6;36.3;66.6;1245.36;227.08;421.24;36.15;75.89;5.8;6;141;3.5;3.75;3.64;3.46;8.9;28.2;57.8;2.1;5;75;0.08;0.15;0.22;0.19;0.44;
4035;43.5107;-1.2704;GWL30;17.34;24.34;10.82;28.73;12.3;51.2;64;1266.31;233.04;442.02;36.04;78.38;5.2;6;140;3.66;3.92;3.75;3.62;11.3;36.6;56;1.6;5;78;0.05;0.12;0.24;0.13;0.31;
4037;43.5171;-1.073;GWL30;17.22;24.24;10.63;29.04;13.1;56.5;60.3;1246.14;219.08;409.71;36.26;74.31;5.2;7;132;3.62;3.89;3.69;4.05;12.3;42.1;52.8;1.5;6;71;0.03;0.04;0.17;0.16;0.52;
4176;43.5758;-1.4725;GWL30;17.35;23.9;11.36;27.39;9.4;37.5;72.6;1239.26;221.41;419.25;35.99;75.69;5.8;5;146;3.6;3.9;3.86;3.43;8.8;28.8;65.2;2.1;4;78;0.08;0.12;0.22;0.19;0.44;
4177;43.5792;-1.3737;GWL30;17.28;23.83;11.3;27.28;8.9;36.6;71.6;1245.38;222.66;421.24;36.15;75.89;5.8;5;148;3.6;3.91;3.85;3.44;8.3;28.3;64.4;2.1;4;75;0.08;0.12;0.22;0.19;0.44;
4178;43.5825;-1.2749;GWL30;17.29;24.29;10.75;28.84;11.6;54.3;62.3;1274.58;225.67;444.99;38.24;69.13;5.3;7;141;3.68;3.97;3.86;3.87;10.7;40.1;56.1;1.7;6;71;0.05;0.07;0.25;0.23;0.3;
4179;43.5858;-1.1761;GWL30;17.31;24.31;10.76;28.87;12.2;54.7;62.6;1249.7;225.36;444.36;38.2;69.07;5.3;7;137;3.68;3.96;3.86;3.86;11.4;40.2;56.4;1.7;6;70;0.03;0.07;0.25;0.23;0.3;
4180;43.589;-1.0773;GWL30;17.12;24.14;10.55;28.8;12.4;55.2;60.6;1266.42;224.66;416.19;36.93;68.5;5.4;7;132;3.66;3.99;3.76;4.11;11.7;42.2;53.2;1.7;6;73;0.03;0.06;0.17;0.15;0.36;
4181;43.592;-0.9784;GWL30;17.02;24.07;10.48;28.92;13.4;55.5;60.7;1261.64;215.15;412.86;36.58;72.3;5.4;7;131;3.62;3.96;3.68;4.33;12.6;42.6;53.6;1.7;6;74;0.02;0.01;0.16;0.14;0.46;
4182;43.595;-0.8796;GWL30;17.01;24.06;10.47;28.91;14.3;55.3;61.5;1245.19;215.35;413.2;37.31;72.34;5.1;7;135;3.63;3.97;3.68;4.34;13.6;42.5;54.3;1.4;6;75;0.01;0.01;0.16;0.16;0.46;
4183;43.5979;-0.7807;GWL30;17.07;24.18;10.52;29.28;14.4;57.3;61.9;1238.69;226.58;405.7;36.83;67.72;4.9;8;126;3.63;3.99;3.72;4.59;13.6;43.9;54.6;1.3;7;73;0.01;0.06;0.17;0.15;0.36;
4184;43.6007;-0.6819;GWL30;17.02;24.43;10.27;30;19.1;63.8;56.8;1012.02;192.52;329.27;30.72;61.67;5.3;8;144;3.61;3.91;3.71;4.65;17.4;47.7;50.7;1.7;7;73;0.01;0.04;0.18;0.14;0.44;
