#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 15h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
4034;43.5074;-1.369;REF;13.58;19.85;7.31;23.76;0.3;7.9;6.9;1145.3;194.3;304.94;30.36;43.13;3.6;0;50;
4035;43.5107;-1.2704;REF;13.58;20.37;6.82;25.03;0.7;14.6;6.2;1194.5;204.62;316.48;31.17;44.71;3.6;0;48;
4037;43.5171;-1.073;REF;13.51;20.29;6.77;24.87;0.6;13.9;6.2;1205.23;205.25;316.65;30.88;45.89;3.6;0;43;
4176;43.5758;-1.4725;REF;13.65;19.94;7.37;23.89;0.4;8.3;7;1141.94;195.86;303.16;29.72;41.95;3.6;0;44;
4177;43.5792;-1.3737;REF;13.58;19.85;7.32;23.77;0.4;7.9;6.8;1148.11;196.98;304.41;29.91;42.15;3.6;0;50;
4178;43.5825;-1.2749;REF;13.5;20.28;6.78;24.88;0.7;13.8;6.3;1203.24;207.27;318.7;31.19;44.45;3.6;0;49;
4179;43.5858;-1.1761;REF;13.52;20.31;6.79;24.91;0.7;13.9;6.2;1201.5;206.96;318.01;31.16;44.39;3.6;0;47;
4180;43.589;-1.0773;REF;13.36;20.1;6.68;24.59;0.6;13;6;1216.65;205.74;320.8;30.93;45.37;3.6;0;42;
4181;43.592;-0.9784;REF;13.3;20.03;6.64;24.47;0.6;12.5;5.9;1221.99;207.26;322.38;31.1;46.77;3.6;0;40;
4182;43.595;-0.8796;REF;13.29;20.02;6.63;24.44;0.6;12.3;5.9;1222.91;207.46;321.49;31.33;46.81;3.6;0;43;
4183;43.5979;-0.7807;REF;13.35;20.1;6.67;24.57;0.6;12.9;6.1;1215.01;203.17;321.14;31.11;45.35;3.5;0;39;
4184;43.6007;-0.6819;REF;13.31;20.41;6.41;25.22;1.3;16;4.7;995.63;175.28;252.79;25.91;38.69;3.6;0;53;
