#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 15h48 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
4034;43.5074;-1.369;GWL15;14.58;20.45;8.13;24.33;0.8;9.9;13.3;1012.22;153.28;305.56;28.98;46.37;2.8;0;52;0.91;0.58;0.68;0.57;0.2;2.1;5.3;-0.8;0;-13;-0.13;-0.24;-0.09;-0.06;-0.12;
4035;43.5107;-1.2704;GWL15;14.63;21;7.63;25.67;1;18.2;12.1;1061.5;160.37;316.97;29.55;44.71;2.8;0;55;0.95;0.6;0.66;0.64;0.1;3.1;4.7;-1;0;-13;-0.12;-0.25;-0.08;-0.08;-0.1;
4037;43.5171;-1.073;GWL15;14.58;20.94;7.7;25.56;1.5;18;12.2;1082.3;159.11;319.44;29.01;44.78;2.7;0;46;0.98;0.65;0.68;0.69;0.7;3.7;4.7;-1;0;-6;-0.11;-0.26;-0.08;-0.09;-0.11;
4176;43.5758;-1.4725;GWL15;14.67;20.51;8.24;24.42;1;10.1;13.2;984.85;144.1;293.59;28.39;46.29;2.5;0;50;0.93;0.56;0.69;0.53;0.4;1.7;5.1;-1.1;0;-10;-0.15;-0.3;-0.11;-0.1;-0.12;
4177;43.5792;-1.3737;GWL15;14.6;20.43;8.18;24.29;0.9;9.4;12.8;989.83;144.99;294.98;28.54;46.49;2.5;0;59;0.93;0.56;0.68;0.53;0.4;1.5;4.9;-1.1;0;-12;-0.15;-0.3;-0.11;-0.1;-0.12;
4178;43.5825;-1.2749;GWL15;14.59;20.91;7.66;25.53;1.3;17.5;11.6;1058.59;158.42;307.15;28.97;42.8;2.6;0;56;0.98;0.6;0.68;0.65;0.4;2.8;4.2;-1;0;-10;-0.13;-0.27;-0.12;-0.09;-0.16;
4179;43.5858;-1.1761;GWL15;14.6;20.93;7.67;25.56;1.4;18.1;11.6;1057.17;158.2;306.88;28.93;42.74;2.6;0;53;0.98;0.6;0.74;0.65;0.5;3.1;4.2;-1;0;-11;-0.13;-0.27;-0.12;-0.09;-0.16;
4180;43.589;-1.0773;GWL15;14.45;20.76;7.63;25.29;1.3;17.2;11.6;1091.59;156.96;316.18;29.78;45.67;2.7;0;46;1;0.65;0.73;0.67;0.5;3.9;4.6;-1;0;-6;-0.11;-0.29;-0.1;-0.09;-0.06;
4181;43.592;-0.9784;GWL15;14.4;20.71;7.58;25.19;1.4;16.3;12.1;1092.61;162.16;319.21;29.69;46.85;2.3;0;48;1;0.67;0.74;0.72;0.7;3.2;5.1;-1.3;0;-6;-0.12;-0.28;-0.1;-0.1;-0.13;
4182;43.595;-0.8796;GWL15;14.39;20.7;7.57;25.17;1.4;16.2;11.9;1093.67;162.32;321.77;29.72;46.89;2.3;0;50;1;0.68;0.77;0.72;0.7;3.3;5.1;-1.4;0;-3;-0.12;-0.28;-0.1;-0.1;-0.13;
4183;43.5979;-0.7807;GWL15;14.47;20.79;7.62;25.31;1.2;17.5;12.4;1097.91;160.43;309.97;30.69;46.47;2.7;0;47;1.02;0.68;0.77;0.73;0.6;4.1;5.6;-0.9;0;-5;-0.11;-0.25;-0.13;-0.07;-0.1;
4184;43.6007;-0.6819;GWL15;14.43;21.13;7.38;26.03;2.4;21.8;10;893.5;139.07;245.97;24.59;38.72;2.5;0;64;1.02;0.69;0.78;0.75;1;5.7;4.4;-1.2;0;-5;-0.12;-0.25;-0.13;-0.13;-0.07;
