#-----------------------------------------------------------------------------
# Date d'extraction : 03/11/2025 - 09h16 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
4034;43.5074;-1.369;GWL30;16.76;23.15;10.49;26.74;7.1;27.5;51;1085.4;142.23;343.59;32.44;54.09;4.2;1;118;3.13;3.23;3.02;2.92;6.6;18.8;43.2;0.6;1;50;-0.07;-0.3;0.06;0.04;0.11;
4035;43.5107;-1.2704;GWL30;16.91;23.77;10.08;28.26;8.9;40.5;48;1131.95;152.05;358.49;33.77;56.11;4.1;1;114;3.27;3.33;3.02;3.15;8.2;25.6;40.8;0.5;1;50;-0.06;-0.29;0.06;0.08;0.11;
4037;43.5171;-1.073;GWL30;16.91;23.87;10.01;28.43;11.3;45.8;50.5;1122.92;148.35;353.18;33.95;53.47;4.1;2;108;3.29;3.51;3;3.51;10.4;30.9;43.6;0.4;2;50;-0.07;-0.31;0.05;0.06;0.11;
4176;43.5758;-1.4725;GWL30;16.85;23.25;10.63;26.91;6.4;27.4;53;1084.37;141.42;332.08;32.27;54.23;4.1;1;112;3.18;3.22;3.02;2.97;5.8;18.7;45.5;0.4;1;48;-0.06;-0.32;0.07;0.02;0.11;
4177;43.5792;-1.3737;GWL30;16.78;23.18;10.56;26.79;6.3;26.5;52.1;1089.76;142.23;333.91;32.44;54.42;4.1;1;119;3.18;3.23;3.02;2.97;5.7;18.3;44.5;0.5;1;48;-0.06;-0.32;0.07;0.02;0.11;
4178;43.5825;-1.2749;GWL30;16.87;23.75;10.02;28.24;9.2;42.2;47.8;1150.91;151.16;344.26;33.2;54.48;4;1;119;3.3;3.41;3;3.34;8.4;27.5;40.7;0.4;1;53;-0.07;-0.31;0.07;0.06;0.11;
4179;43.5858;-1.1761;GWL30;16.92;23.83;10.07;28.27;9.9;42.3;47.8;1149.16;150.94;342.9;33.17;54.32;4;1;115;3.3;3.47;3.07;3.34;9;27.4;40.7;0.4;1;51;-0.07;-0.3;0.07;0.06;0.11;
4180;43.589;-1.0773;GWL30;16.79;23.75;9.94;28.23;10.8;43.8;48.5;1152.2;153.36;346.5;34.11;54.64;4.2;2;111;3.34;3.54;3.05;3.61;9.9;30.4;41.1;0.6;2;54;-0.07;-0.3;0.05;0.06;0.07;
4181;43.592;-0.9784;GWL30;16.72;23.72;9.85;28.2;11.4;44.3;49.3;1137.49;148.57;356.47;34.3;54.59;4.2;2;100;3.32;3.59;3.06;3.68;10.7;30.9;42.9;0.5;2;50;-0.07;-0.31;0.05;0.07;0.14;
4182;43.595;-0.8796;GWL30;16.71;23.76;9.84;28.18;11.3;45.2;49.2;1138.64;148.71;356.82;34.1;53.47;4.2;2;106;3.32;3.66;3.09;3.69;10.6;31.9;42.7;0.5;2;51;-0.07;-0.31;0.04;0.07;0.12;
4183;43.5979;-0.7807;GWL30;16.8;23.82;9.9;28.42;12.3;46.6;50;1140.25;150.4;356.59;34.06;52.93;4;3;101;3.34;3.67;3.1;3.81;11.4;33;43.5;0.3;2;52;-0.07;-0.31;0.04;0.06;0.1;
4184;43.6007;-0.6819;GWL30;16.75;24.1;9.7;29.11;15.1;53.7;45.2;938.04;127.5;281.74;28.68;45.94;4.1;3;124;3.33;3.61;3.11;3.84;13.4;37;40;0.3;3;60;-0.07;-0.31;0.04;0.06;0.11;
4185;43.6034;-0.583;GWL30;16.68;24.03;9.64;29.08;15.4;52.8;44.8;935.91;131.19;279.15;28.4;45.84;4.1;3;120;3.35;3.65;3.13;3.89;13.9;36.5;39.4;0.4;3;59;-0.07;-0.3;0.03;0.05;0.11;
4186;43.6061;-0.4841;GWL30;16.5;23.85;9.47;28.86;15.3;49.1;43.5;946.68;132.06;285.06;28.86;45.91;4.2;4;121;3.38;3.74;3.1;4.02;13.9;35.4;38.3;0.5;4;59;-0.08;-0.31;0.03;0.05;0.11;
4187;43.6086;-0.3852;GWL30;16.5;23.86;9.47;28.87;15;49.3;43.5;946.32;132;284.97;28.82;46.86;4.2;4;121;3.38;3.74;3.1;4.02;13.7;35.6;38.3;0.5;4;59;-0.08;-0.31;0.02;0.06;0.11;
4188;43.6111;-0.2863;GWL30;16.34;23.67;9.34;28.64;14.8;47.9;42.1;951.3;134.5;290.87;29.33;49.46;4.2;3;114;3.38;3.77;3.09;4.1;13.6;35;37.8;0.6;3;58;-0.08;-0.29;0.04;0.06;0.12;
4320;43.651;-1.3784;GWL30;16.84;23.2;10.6;26.85;6.3;27;52.7;1086.38;144.19;332.64;32.29;54.97;4.2;1;112;3.18;3.2;3.06;2.97;5.8;18.3;45;0.5;1;49;-0.06;-0.28;0.07;0.03;0.12;
4321;43.6544;-1.2795;GWL30;16.93;23.79;10.08;28.3;10.1;42.4;47.9;1147.22;150.74;342.46;33.12;54.72;4;1;104;3.27;3.37;3.14;3.33;9;27.4;40.7;0.4;1;52;-0.07;-0.27;0.07;0.06;0.13;
4322;43.6576;-1.1805;GWL30;16.97;23.84;10.12;28.36;10.1;43;48;1143.72;150.3;341.53;33.02;54.6;4;1;119;3.27;3.38;3.15;3.33;9;28;40.6;0.3;1;51;-0.07;-0.27;0.06;0.06;0.13;
4323;43.6608;-1.0816;GWL30;16.97;23.93;10.1;28.55;11.1;46.7;49.2;1135.34;150.98;341.69;33.46;51.95;4.2;2;118;3.33;3.48;3.15;3.55;10.1;32.1;41.5;0.6;2;49;-0.07;-0.29;0.05;0.06;0.09;
