#-----------------------------------------------------------------------------
# Date d'extraction : 23/09/2025 - 14h26 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
 Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
2612;42.8133;-0.5431;GWL15;8.32;16.66;2.18;20.81;1.1;11.4;9.9;1917.28;398.36;596.86;52.16;103.44;5.9;0;79;2.43;3.78;2.37;4.71;1.1;11.4;9.9;2.2;0;37;0.05;0.24;0.15;0.1;0.22;
2613;42.8159;-0.4456;GWL15;6.96;15.23;0.98;18.86;0.2;4.8;6.2;2034.74;418.18;639.46;57.43;99.13;5.8;0;78;2.38;3.65;2.36;4.45;0.2;4.8;6.2;2.2;0;35;0.04;0.22;0.15;0.14;0.25;
2754;42.8824;-0.6444;GWL15;8.35;15.7;2.72;19.16;0;2.2;3.5;2264.23;370.1;777.35;65.78;113.84;5.3;0;76;1.86;2.25;2.29;2.52;0;2.2;3.4;1.7;0;36;0.06;0.11;0.19;0.16;0.19;
2755;42.8851;-0.5467;GWL15;9.69;18.08;3.48;22.56;4.7;22.9;15.8;2141.57;413.7;717.5;62.41;113.62;5.4;0;76;2.5;4;2.41;5.07;4.7;22.9;15.6;1.8;0;37;0.05;0.23;0.14;0.18;0.23;
2756;42.8877;-0.4491;GWL15;8.35;16.64;2.32;20.54;1.1;10.8;11.6;2296.96;441.84;763.6;65.67;106.65;5.3;0;65;2.45;3.85;2.4;4.75;1.1;10.8;11.5;1.7;0;38;0.04;0.24;0.12;0.16;0.15;
2757;42.8902;-0.3514;GWL15;6.29;13.78;0.58;16.65;0;0.1;1.1;2077.56;414.61;652.78;60.6;109.77;5.4;0;61;2.05;2.55;2.33;2.8;0;0.1;1.1;1.8;0;35;0.06;0.2;0.15;0.15;0.15;
2897;42.9543;-0.6481;GWL15;10.69;18.1;4.51;22.31;0.9;10.8;7.2;2023.04;325.55;685.71;57.25;97.73;5.6;1;89;1.79;2.3;1.98;2.7;0.9;9.6;6.2;1.8;0;38;0.08;0.11;0.2;0.18;0.11;
2898;42.9569;-0.5503;GWL15;9.51;16.7;3.43;20.42;0.2;5.5;5.1;2214.1;370.84;726.02;61.79;109.38;5.4;1;74;1.76;2.04;1.96;2.23;0.2;5.1;4.4;1.8;1;40;0.1;0.17;0.2;0.17;0.19;
2899;42.9595;-0.4525;GWL15;9.61;16.8;3.6;20.56;0.3;5.8;4.9;2202.58;368.87;721.78;61.33;109.15;5.2;1;79;1.82;2.05;2.04;2.24;0.3;5.4;4.2;1.6;1;38;0.1;0.17;0.2;0.14;0.2;
2900;42.962;-0.3547;GWL15;8.25;15.45;2.47;18.72;0;1.5;2.7;2317.07;383.05;754.03;63.91;113.31;4.7;1;66;1.81;2.06;2.08;2.14;0;1.5;2.6;1.1;0;37;0.08;0.13;0.15;0.1;0.17;
3035;43.0113;-1.1411;GWL15;10.82;17.69;5.01;20.64;0.4;5.4;10.7;2204.89;374.92;712.04;60.73;96.76;5.2;1;51;1.69;1.94;1.94;1.88;0.4;4.8;8.6;1.6;1;30;0.08;0.09;0.19;0.12;0.16;
3036;43.0144;-1.0433;GWL15;9.99;16.84;4.17;19.77;0.2;4.5;8.9;2308.55;393.32;743.36;66.49;99.65;5.2;1;52;1.75;2.04;1.96;2.14;0.2;4.2;7.3;1.6;1;30;0.08;0.08;0.18;0.11;0.14;
