#-----------------------------------------------------------------------------
# Date d'extraction : 23/09/2025 - 14h30 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements  

Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;

2612;42.8133;-0.5431;GWL30;11.76;22.53;4.57;27.27;11.1;44.5;44;1708.41;338.94;578.24;52.44;93.22;5.3;3;129;5.87;9.64;4.76;11.16;11.1;44.5;44;1.7;2;87;-0.06;0.04;0.1;0.11;0.24;
2613;42.8159;-0.4456;GWL30;10.37;21.01;3.36;25.07;3.4;26.9;34.5;1824.85;357.28;624.45;55.74;101.34;5.4;2;124;5.79;9.44;4.74;10.67;3.4;26.9;34.5;1.8;2;80;-0.06;0.03;0.1;0.09;0.25;
2754;42.8824;-0.6444;GWL30;10.98;18.73;4.25;22.71;0.8;10.9;19.5;2017.08;359.51;784.21;65.03;123.62;5.3;3;111;4.49;5.21;3.87;6.07;0.8;10.9;19.4;1.7;3;80;-0.04;0.07;0.18;0.16;0.24;
2755;42.8851;-0.5467;GWL30;13.22;24.18;5.86;29.37;24.7;63;58.1;1914.32;348.76;670.65;59.46;110.28;5.2;4;124;6.04;10.1;4.8;11.87;24.7;63;57.9;1.5;4;86;-0.06;0.04;0.04;0.1;0.33;
2756;42.8877;-0.4491;GWL30;11.84;22.63;4.71;27.03;10.2;42.5;47;2015.76;372.12;726.7;63.01;106.18;5.2;2;119;5.94;9.84;4.79;11.24;10.2;42.5;46.9;1.5;2;92;-0.08;0.05;0.05;0.11;0.18;
2757;42.8902;-0.3514;GWL30;10.26;21;3.04;24.65;3.5;23.5;38.2;1863.79;364.41;668.86;58.47;114.93;4.5;3;108;6.05;9.79;4.75;10.72;3.5;23.5;38.2;0.8;3;82;-0.07;0.03;0.16;0.1;0.11;
2897;42.9543;-0.6481;GWL30;13.13;21.12;6.43;26.09;6.3;37.7;31;1843.22;315.94;717.03;56.4;111.27;5.9;4;121;4.25;5.32;3.93;6.47;6.3;36.2;30.1;2.3;4;85;0;0.07;0.25;0.19;0.29;
2898;42.9569;-0.5503;GWL30;11.92;19.77;5.39;23.69;3;19.7;24.5;1996.17;338.96;783.07;64.3;120.74;5.6;4;111;4.21;5.14;3.84;5.5;3;19.3;24;2;3;82;-0.02;0.07;0.28;0.19;0.21;
2899;42.9595;-0.4525;GWL30;12.02;19.88;5.45;23.83;3.5;20.5;25.2;1983.14;337.11;777.48;64.15;119.3;5.4;4;114;4.21;5.14;3.81;5.51;3.5;20.1;24.8;1.8;3;82;-0.02;0.07;0.28;0.19;0.21;
2900;42.962;-0.3547;GWL30;10.73;18.17;4.3;21.75;0.5;8.9;13.9;2117.02;337.22;848.51;64.68;120.89;4.7;4;113;4.25;4.78;3.84;5.18;0.5;8.9;13.8;1;3;84;-0.03;-0.04;0.26;0.12;0.22;
3035;43.0113;-1.1411;GWL30;12.87;20.21;6.9;23.83;3.8;18.1;29;2068.57;332.74;754.45;64.02;99.96;6.2;4;95;3.7;4.48;3.86;5.08;3.7;17.4;26.9;2.6;4;76;0.01;-0.07;0.23;0.19;0.25;
3036;43.0144;-1.0433;GWL30;12.23;19.77;6.12;23.18;2.6;17.5;24.2;2196.82;359.24;765.4;67.35;104.37;6.8;4;100;4;4.96;3.99;5.55;2.6;17.3;22.7;3.1;4;83;0.03;-0.04;0.22;0.17;0.23;
