#-----------------------------------------------------------------------------
# Date d'extraction : 23/09/2025 - 14h12 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 

Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;

2612;42.8133;-0.5431;GWL15;7.3;14.45;0.29;17.61;0;0;0.1;1608.67;238.78;413.22;46.05;71.53;3.2;0;17;1.43;1.56;0.55;1.6;0;0;0;-0.5;0;-5;-0.12;-0.24;-0.2;-0.05;-0.11;
2613;42.8159;-0.4456;GWL15;5.96;13.11;-0.89;15.78;0;0;0;1723.77;252.16;482.61;50.35;75.93;3.5;0;18;1.42;1.52;0.56;1.52;0;0;0;-0.1;0;-5;-0.12;-0.25;-0.11;-0.02;-0.12;
2754;42.8824;-0.6444;GWL15;7.9;14.55;0.99;17.8;0;0.2;0.6;1902.58;240.57;513.11;54.17;83.38;3;0;19;1.37;1.12;0.55;1.21;0;0;0.4;-0.6;0;-4;-0.12;-0.28;-0.21;-0.07;-0.13;
2755;42.8851;-0.5467;GWL15;8.63;15.69;1.56;19.12;0;0.3;0.9;1816.65;246.43;499.38;52.61;83.21;3;0;15;1.46;1.63;0.55;1.7;0;0.2;0.5;-0.7;0;-4;-0.12;-0.25;-0.21;-0.04;-0.08;
2756;42.8877;-0.4491;GWL15;7.31;14.37;0.41;17.29;0;0;0.2;1926.55;262.91;579.62;54.18;85.31;3.2;0;8;1.44;1.59;0.56;1.61;0;0;0.1;-0.4;0;-2;-0.13;-0.25;-0.1;-0.04;-0.12;
2757;42.8902;-0.3514;GWL15;5.48;12.35;-1.22;14.89;0;0;0;1736.3;253.69;491.61;50.34;79.44;3;0;20;1.27;1.14;0.58;0.96;0;0;0;-0.7;0;2;-0.12;-0.28;-0.11;-0.06;-0.13;
2897;42.9543;-0.6481;GWL15;10.24;16.91;3.05;20.85;0;2.2;1.5;1688.83;211.82;503.28;46.69;76.99;3.2;0;26;1.32;1.12;0.53;1.26;0;0.7;0.6;-0.5;0;-4;-0.11;-0.28;-0.07;-0.08;-0.15;
2898;42.9569;-0.5503;GWL15;9.04;15.74;2.01;19.38;0;0.6;0.8;1806.48;244.13;528.67;50.38;77.57;3.2;0;16;1.32;1.11;0.53;1.23;0;0.3;0.2;-0.5;0;-4;-0.12;-0.23;-0.1;-0.04;-0.14;
2899;42.9595;-0.4525;GWL15;9.14;15.85;2.1;19.51;0;0.7;0.9;1796.09;242.81;533.93;48.69;77.32;3.2;0;23;1.27;1.11;0.52;1.24;0;0.3;0.3;-0.5;0;-2;-0.12;-0.23;-0.07;-0.05;-0.14;
2900;42.962;-0.3547;GWL15;7.78;14.47;0.93;17.51;0;0.1;0.3;1920.59;247.82;585.66;54.98;85.52;3.1;0;19;1.28;1.1;0.51;0.99;0;0;0.2;-0.6;0;0;-0.11;-0.3;-0.07;-0.05;-0.13;
3035;43.0113;-1.1411;GWL15;10.27;16.54;3.7;19.43;0;1.3;3;1789.9;257.46;542.43;51.98;78.76;3.3;0;5;1.13;0.85;0.61;0.72;0;0.6;1;-0.3;0;-7;-0.14;-0.23;-0.1;-0.04;-0.07;
3036;43.0144;-1.0433;GWL15;9.46;15.81;2.85;18.44;0;0.4;2.5;1890.18;258.92;563.9;56.05;84.71;3.2;0;9;1.26;1.03;0.65;0.82;0;0.2;0.8;-0.5;0;-4;-0.13;-0.25;-0.09;-0.03;-0.03;
3037;43.0175;-0.9454;GWL15;11.34;17.6;4.67;20.64;0;2.9;3.6;1677.52;230.91;497.36;49.14;72.28;3;0;13;1.21;1;0.65;0.78;-0.1;1;1.1;-0.8;0;-4;-0.14;-0.25;-0.07;-0.04;-0.08;
3038;43.0204;-0.8475;GWL15;11.28;17.52;4.62;20.64;0;3;3.3;1707.26;226.19;509.95;49.44;73.68;3.3;0;10;1.16;0.91;0.57;0.76;-0.1;1.1;1;-0.4;0;-3;-0.12;-0.26;-0.07;-0.05;-0.11;
3039;43.0233;-0.7497;GWL15;10.25;16.54;3.7;19.45;0;0.9;2.8;1824.79;248.29;550.3;51.69;81.14;3.3;0;8;1.12;0.87;0.61;0.76;0;0.1;1.2;-0.3;0;-2;-0.13;-0.25;-0.08;-0.01;-0.17;
3040;43.0261;-0.6518;GWL15;11.44;18.01;4.54;21.96;0.1;4.9;2.5;1550.87;198.21;496.36;44.72;73.88;3.2;0;27;1.13;0.81;0.61;0.73;-0.1;1.3;0.9;-0.4;0;0;-0.11;-0.25;-0.05;-0.07;-0.18;
3041;43.0288;-0.5539;GWL15;10.18;16.82;3.33;20.52;0;2;1.5;1629.99;203.35;527.81;44.19;77.38;2.3;0;24;1.15;0.89;0.63;0.74;0;0.5;0.5;-1.2;0;0;-0.12;-0.32;-0.07;-0.14;-0.17;
3042;43.0313;-0.456;GWL15;10.21;16.77;3.38;20.6;0;2.2;1.5;1677.21;206.61;506.68;46.29;78.19;3;0;28;1.14;0.78;0.62;0.74;-0.1;0.5;0.6;-0.7;0;2;-0.1;-0.28;-0.05;-0.03;-0.14;
3043;43.0339;-0.3581;GWL15;9.19;15.9;2.14;19.38;0;0.8;0.9;1792.74;230.47;544.69;50.72;83.47;3.1;0;21;1.28;1.1;0.49;1.01;0;0.3;0.3;-0.5;0;-1;-0.1;-0.3;-0.07;-0.06;-0.15;
3175;43.0731;-1.4392;GWL15;11.98;18.01;5.55;21.52;0.1;4.8;3.5;1613.05;237.16;480.16;47.2;68.63;3.2;0;19;1.07;0.67;0.72;0.63;-0.1;1.2;1;-0.4;0;-2;-0.11;-0.19;-0.07;-0.03;-0.06;
3177;43.0799;-1.2434;GWL15;11.46;17.63;4.86;20.84;0;3.1;3.5;1651.95;238.54;497.29;47.48;68.12;3.1;0;8;1.13;0.83;0.61;0.7;-0.1;1;1.1;-0.5;0;-6;-0.13;-0.23;-0.09;-0.07;-0.11;
3178;43.0831;-1.1454;GWL15;12.22;18.31;5.62;21.79;0.2;5.7;4.3;1563.16;225.92;468.26;44.87;64.17;3;0;18;1.13;0.8;0.61;0.69;-0.1;1.4;1.6;-0.5;0;-4;-0.13;-0.23;-0.09;-0.05;-0.14;
3179;43.0862;-1.0475;GWL15;10.7;17.03;4.19;19.99;0;1.9;3;1693.67;236.27;511.73;50.25;78.58;3;0;10;1.09;0.9;0.64;0.7;0;0.7;0.9;-0.6;0;-2;-0.14;-0.29;-0.08;-0.06;-0.05;
3180;43.0893;-0.9495;GWL15;12.15;18.18;5.69;21.78;0.1;5.2;4.1;1656.1;231.17;483.3;47.28;71.02;3.3;0;15;1.06;0.68;0.68;0.66;-0.1;1.2;1.2;-0.3;0;-1;-0.07;-0.23;-0.06;-0.01;-0.08;
3181;43.0922;-0.8515;GWL15;13.19;18.93;6.87;22.83;0.6;8.3;4.5;1493.31;212.01;425.78;39.59;57.95;3.5;0;22;1.05;0.63;0.73;0.63;0;2;1.8;-0.2;0;0;-0.07;-0.24;-0.04;-0.02;-0.14;
3182;43.0951;-0.7535;GWL15;12.92;18.68;6.62;22.38;0.2;7.5;5;1497.86;214.53;420.09;39.54;60.84;3.1;0;21;1.03;0.62;0.66;0.6;-0.2;1.4;2.3;-0.6;0;2;-0.09;-0.24;-0.11;-0.03;-0.06;
3183;43.0979;-0.6555;GWL15;12.61;18.75;6;22.61;0.4;7.6;3.7;1294.73;210.64;334.13;34.99;54.67;3.2;0;18;1.04;0.62;0.63;0.62;0;1.6;1.2;-0.5;0;2;-0.09;-0.25;-0.1;-0.03;-0.1;
3184;43.1006;-0.5575;GWL15;12.41;19.04;5.48;22.96;0.2;7.1;4.2;1421.6;178.72;454.63;38.62;69.51;2.7;0;32;1.14;0.85;0.61;0.71;0;1.4;1.6;-0.9;0;2;-0.14;-0.32;-0.08;-0.13;-0.19;
3185;43.1032;-0.4595;GWL15;12.18;18.28;5.54;21.94;0.2;5.8;3.6;1323.25;204.84;372.05;36.3;56.36;3;0;16;1.14;0.72;0.63;0.71;-0.2;1.2;1.3;-0.6;0;1;-0.12;-0.27;-0.04;-0.02;-0.07;
