#-----------------------------------------------------------------------------
# Date d'extraction : 23/09/2025 - 14h18 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
2612;42.8133;-0.5431;REF;5.9;12.89;-0.2;16.05;0;0;0;1815.69;318.72;508.24;47.93;78.28;3.7;0;24;
2613;42.8159;-0.4456;REF;4.58;11.57;-1.39;14.29;0;0;0;1940.54;341.95;541.39;51.27;82.35;3.6;0;27;
2754;42.8824;-0.6444;REF;6.54;13.44;0.49;16.61;0;0;0.1;2125.79;345.75;646.91;57.69;91.44;3.6;0;22;
2755;42.8851;-0.5467;REF;7.19;14.09;1.07;17.47;0;0.1;0.3;2055.9;331.49;617.76;55.05;87.11;3.6;0;21;
2756;42.8877;-0.4491;REF;5.89;12.79;-0.09;15.71;0;0;0.1;2193.48;354.06;667.17;57.25;90.06;3.7;0;16;
2757;42.8902;-0.3514;REF;4.21;11.21;-1.73;13.85;0;0;0;1979.01;347.18;553.8;53.3;85.4;3.6;0;19;
2897;42.9543;-0.6481;REF;8.87;15.8;2.57;19.61;0;1.4;0.9;1862.36;304.62;568;49.41;84.93;3.6;0;31;
2898;42.9569;-0.5503;REF;7.72;14.65;1.53;18.16;0;0.3;0.5;1993.44;322.91;604.69;53.19;90.34;3.6;0;20;
2899;42.9595;-0.4525;REF;7.83;14.75;1.62;18.29;0;0.4;0.6;1982;327.64;601.6;52.76;89.72;3.6;0;25;
2900;42.962;-0.3547;REF;6.49;13.39;0.44;16.54;0;0;0.1;2143.08;348.1;650.04;57.67;95.68;3.7;0;23;
3035;43.0113;-1.1411;REF;9.14;15.72;3.15;18.74;0;0.7;2;2037.25;345.15;596.61;53.83;83.73;3.7;0;14;
3036;43.0144;-1.0433;REF;8.2;14.8;2.25;17.62;0;0.3;1.5;2143.8;364.91;627.16;57.51;87.97;3.6;0;13;
