#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 17h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
2336;42.6915;0.4373;GWL20;3.99;11.38;-2.5;13.66;0;0;0;1372.39;265.83;336.64;42.41;65.23;2.6;0;20;2.17;2.4;1.56;2.35;0;0;0;-1;0;16;-0.22;-0.29;-0.12;-0.12;-0.17;
2474;42.7535;-0.0524;GWL20;6.21;13.71;-0.48;16.45;0;0;0.1;1296.59;261.28;257.78;40.14;66.53;2.8;0;31;2.2;2.54;1.54;2.61;0;0;0.1;-0.9;0;11;-0.19;-0.24;-0.29;-0.09;-0.14;
2475;42.7557;0.045;GWL20;7.09;14.62;0.29;17.64;0;0;0.4;1251.2;253.85;244.84;38.16;61.64;2.8;0;33;2.21;2.58;1.51;2.7;0;0;0.4;-0.8;0;11;-0.19;-0.25;-0.3;-0.1;-0.13;
2476;42.7577;0.1425;GWL20;5.38;12.84;-1.3;15.38;0;0;0;1424.8;290.46;294.34;43.19;62.15;3;0;21;2.18;2.48;1.5;2.51;0;0;0;-0.6;0;10;-0.15;-0.19;-0.22;-0.08;-0.17;
2477;42.7597;0.24;GWL20;6.68;14.11;-0.18;16.93;0;0;0.2;1342.27;268.89;306.5;40.93;62.12;3;0;18;2.14;2.42;1.37;2.44;0;0;0.2;-0.5;0;8;-0.15;-0.2;-0.11;-0.06;-0.09;
2478;42.7616;0.3374;GWL20;6.89;14.33;0.01;17.22;0;0;0.2;1331.46;266.99;288.21;41.51;61.08;3.5;0;19;2.14;2.43;1.37;2.46;0;0;0.2;-0.1;0;8;-0.15;-0.2;-0.14;-0.01;-0.13;
2479;42.7634;0.4349;GWL20;7.3;14.66;0.44;17.62;0;0;1.5;1103.2;203.92;268.33;35.75;56.48;3.4;0;28;1.99;2.36;1.34;2.37;0;0;1.3;-0.2;0;6;-0.16;-0.25;-0.18;-0.06;-0.15;
2615;42.8208;-0.2505;GWL20;4.18;11.58;-2.3;13.94;0;0;0;1471.72;275.63;333.5;45.38;71.1;2.8;0;21;2.18;2.42;1.58;2.44;0;0;0;-0.8;0;11;-0.16;-0.25;-0.16;-0.06;-0.07;
2616;42.8231;-0.1529;GWL20;5.39;12.8;-1.3;15.33;0;0;0;1374.45;291.68;306.48;42.08;69.77;2.8;0;24;2.18;2.42;1.47;2.46;0;0;0;-0.9;0;9;-0.17;-0.23;-0.18;-0.08;-0.08;
2617;42.8254;-0.0554;GWL20;5.96;13.32;-0.87;15.99;0;0;0.1;1378.46;265.13;305.62;44.14;68.23;3;0;23;2.11;2.37;1.33;2.39;0;0;0.1;-0.6;0;10;-0.16;-0.23;-0.11;-0.04;-0.12;
2618;42.8275;0.0422;GWL20;7.24;14.58;0.32;17.59;0;0;1.1;1211.87;216.2;359.58;37.98;62.49;3.2;0;41;2.15;2.44;1.32;2.52;0;0;1.1;-0.4;0;11;-0.17;-0.23;-0.14;-0.06;-0.11;
2619;42.8296;0.1398;GWL20;4.23;11.57;-2.34;13.8;0;0;0;1384.94;254.75;388.21;41.71;67.52;2.7;0;30;2.09;2.32;1.45;2.22;0;0;0;-0.9;0;14;-0.16;-0.23;-0.2;-0.11;-0.16;
