#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 17h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements  

Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;


2336;42.6915;0.4373;GWL30;5.72;13.49;-0.96;15.59;0;0;0;1157.1;185.38;247.69;39.62;72.03;2.2;0;30;3.88;4.55;3.02;4.28;0;0;0;-1.4;0;21;-0.35;-0.51;-0.39;-0.18;-0.08;
2474;42.7535;-0.0524;GWL30;8.03;16.01;1.01;18.74;0;0;1.7;1068.99;177.51;206.54;37.29;64.4;2.5;0;50;4.01;4.89;3.03;4.89;0;0;1.7;-1.2;0;29;-0.34;-0.49;-0.45;-0.17;-0.16;
2475;42.7557;0.045;GWL30;8.92;16.96;1.76;19.98;0;0.3;3.4;1057.24;171.53;211.62;35.96;61.92;2.5;0;56;4.04;4.98;2.98;5.04;0;0.3;3.3;-1.1;0;24;-0.32;-0.49;-0.41;-0.16;-0.17;
2476;42.7577;0.1425;GWL30;7.16;15.14;0.29;17.49;0;0;0.2;1179.61;182.32;232.74;40.07;68.86;2.5;0;26;3.89;4.8;3.09;4.63;0;0;0.2;-1.1;0;16;-0.29;-0.49;-0.4;-0.14;-0.08;
2477;42.7597;0.24;GWL30;8.38;16.14;1.18;18.85;0;0.1;2.3;1115.85;167.97;244.08;38.47;64.85;2.6;0;22;3.82;4.51;2.68;4.35;0;0.1;2.3;-1;0;14;-0.29;-0.5;-0.34;-0.08;-0.08;
2478;42.7616;0.3374;GWL30;8.59;16.37;1.36;19.15;0;0.2;2.8;1111.37;166.22;242.69;37.88;64.1;2.8;0;24;3.83;4.53;2.67;4.38;0;0.2;2.8;-0.9;0;14;-0.29;-0.5;-0.34;-0.09;-0.08;
2479;42.7634;0.4349;GWL30;8.91;16.53;1.91;19.39;0;0.6;5.7;897.36;140.95;232.61;28.86;55.84;1.9;0;58;3.61;4.24;2.82;4.08;0;0.6;5.4;-1.8;0;23;-0.32;-0.5;-0.32;-0.22;-0.15;
2615;42.8208;-0.2505;GWL30;5.65;13.37;-0.81;15.65;0;0;0;1181.82;193.65;239.4;42.47;66.46;2.1;0;26;3.58;4.2;2.98;4.02;0;0;0;-1.6;0;15;-0.33;-0.51;-0.41;-0.12;-0.18;
2616;42.8231;-0.1529;GWL30;7.15;14.92;0.1;17.6;0;0;0.6;1143.65;193.07;243.9;40.57;65.41;2.5;0;34;3.93;4.54;2.8;4.75;0;0;0.6;-1.2;0;16;-0.31;-0.46;-0.38;-0.11;-0.14;
2617;42.8254;-0.0554;GWL30;7.66;15.25;0.39;18.07;0;0;1.5;1119.87;189.5;269.78;37.99;65.18;2.1;0;24;3.77;4.32;2.55;4.53;0;0;1.5;-1.6;0;17;-0.32;-0.46;-0.29;-0.16;-0.11;
2618;42.8275;0.0422;GWL30;8.97;16.63;1.56;19.84;0;0.4;4.8;985.76;154.52;293.78;33.33;60.95;2.5;0;48;3.83;4.51;2.52;4.83;0;0.4;4.6;-1.2;0;24;-0.33;-0.45;-0.3;-0.19;-0.13;
2619;42.8296;0.1398;GWL30;5.96;13.5;-0.93;15.78;0;0;0.3;1183.94;164.7;318.63;35.86;66.73;1.8;0;24;3.82;4.3;2.79;4.29;0;0;0.3;-1.8;0;9;-0.28;-0.49;-0.34;-0.24;-0.14;
