#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 17h18 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
2336;42.6915;0.4373;GWL20;4.4;12.26;-1.7;14.57;0;0;0;1693.72;374.04;404.39;50.2;77.04;3.8;0;33;2.51;3.29;2.29;3.26;0;0;0;0.1;0;29;-0.05;-0.04;0.03;0.02;0.05;
2474;42.7535;-0.0524;GWL20;6.64;14.51;0.11;17.16;0;0;0.4;1512.97;327.55;346.07;45.27;75.51;4.1;0;50;2.57;3.3;2.19;3.32;0;0;0.4;0.4;0;31;-0.07;-0.05;-0.04;0.04;0.03;
2475;42.7557;0.045;GWL20;7.49;15.36;0.87;18.36;0;0.1;1.2;1477.42;317.19;337.96;43.73;70.8;3.8;0;57;2.56;3.37;2.14;3.42;0;0.1;1.2;0.1;0;30;-0.06;-0.05;-0.02;0.05;0.01;
2476;42.7577;0.1425;GWL20;5.74;13.57;-0.6;16.2;0;0;0.2;1584.56;356.15;364.56;46.33;72.25;3.8;0;42;2.5;3.18;2.21;3.27;0;0;0.2;0.3;0;24;-0.04;-0.03;0;0.01;0.01;
2477;42.7597;0.24;GWL20;7.06;14.73;0.51;17.65;0;0;0.7;1612.21;352.99;366.69;46.37;70.64;4.7;0;43;2.47;3.06;2.05;3.17;0;0;0.7;1;0;26;0.01;0;0.04;0.08;0.07;
2478;42.7616;0.3374;GWL20;7.28;14.94;0.7;17.94;0;0.1;1.1;1596.09;350.26;364.12;45.08;70.53;4.6;0;41;2.48;3.04;2.05;3.19;0;0.1;1.1;0.8;0;26;0.02;0.01;0.04;0.07;0.06;
2479;42.7634;0.4349;GWL20;7.75;15.26;1.16;18.33;0;0.2;2.8;1301.71;262.78;348.15;38.87;63.19;4.1;1;63;2.44;2.91;2.1;3.06;0;0.2;2.6;0.4;1;29;-0.01;-0.05;0.06;0.05;0.06;
2615;42.8208;-0.2505;GWL20;4.58;12.29;-1.66;14.67;0;0;0;1647.42;364.83;395.94;51.63;80.81;4.2;0;41;2.49;3.16;2.17;3.09;0;0;0;0.5;0;28;-0.06;-0.08;-0.01;0.05;0.04;
2616;42.8231;-0.1529;GWL20;5.76;13.68;-0.69;16.3;0;0;0.2;1583.91;319.92;371.59;47.59;77.24;4.2;0;44;2.49;3.32;2.03;3.43;0;0;0.2;0.5;0;30;-0.05;-0.1;-0.01;0.06;0.03;
2617;42.8254;-0.0554;GWL20;6.36;14.06;-0.23;16.87;0;0;0.4;1614.91;352.73;375.8;47.9;75.9;4.2;0;38;2.48;3.04;1.98;3.25;0;0;0.3;0.6;0;27;-0.01;0.02;0.04;0.06;0.05;
2618;42.8275;0.0422;GWL20;7.63;15.38;0.96;18.5;0;0.2;1.6;1436.46;285.8;390.73;43;67.51;4.2;0;55;2.46;3.15;1.94;3.46;0;0.2;1.6;0.7;0;21;-0.02;0.03;0.01;0.08;0.06;
2619;42.8296;0.1398;GWL20;4.62;12.34;-1.64;14.63;0;0;0.1;1561.4;313.07;458.87;48.67;74.67;3.8;0;44;2.49;3.1;2.12;2.95;0;0;0.1;0.2;0;32;-0.05;-0.02;0;0.04;-0.03;
2620;42.8315;0.2374;GWL20;6.84;14.28;0.54;17;0;0;0.9;1468.5;286.07;425.42;42.7;73;4.2;0;50;2.31;2.66;2.16;2.69;0;0;0.9;0.5;0;30;-0.03;-0.03;0.05;0.05;0.03;
